date_key,full_date,day,month,month_name,quarter,year,weekday_name
20150103,2015-01-03,3,1,January,1,2015,Saturday
20150104,2015-01-04,4,1,January,1,2015,Sunday
20150105,2015-01-05,5,1,January,1,2015,Monday
20150106,2015-01-06,6,1,January,1,2015,Tuesday
20150107,2015-01-07,7,1,January,1,2015,Wednesday
20150109,2015-01-09,9,1,January,1,2015,Friday
20150110,2015-01-10,10,1,January,1,2015,Saturday
20150111,2015-01-11,11,1,January,1,2015,Sunday
20150113,2015-01-13,13,1,January,1,2015,Tuesday
20150114,2015-01-14,14,1,January,1,2015,Wednesday
20150115,2015-01-15,15,1,January,1,2015,Thursday
20150116,2015-01-16,16,1,January,1,2015,Friday
20150118,2015-01-18,18,1,January,1,2015,Sunday
20150119,2015-01-19,19,1,January,1,2015,Monday
20150120,2015-01-20,20,1,January,1,2015,Tuesday
20150123,2015-01-23,23,1,January,1,2015,Friday
20150126,2015-01-26,26,1,January,1,2015,Monday
20150127,2015-01-27,27,1,January,1,2015,Tuesday
20150128,2015-01-28,28,1,January,1,2015,Wednesday
20150130,2015-01-30,30,1,January,1,2015,Friday
20150131,2015-01-31,31,1,January,1,2015,Saturday
20150201,2015-02-01,1,2,February,1,2015,Sunday
20150202,2015-02-02,2,2,February,1,2015,Monday
20150203,2015-02-03,3,2,February,1,2015,Tuesday
20150204,2015-02-04,4,2,February,1,2015,Wednesday
20150206,2015-02-06,6,2,February,1,2015,Friday
20150207,2015-02-07,7,2,February,1,2015,Saturday
20150208,2015-02-08,8,2,February,1,2015,Sunday
20150211,2015-02-11,11,2,February,1,2015,Wednesday
20150212,2015-02-12,12,2,February,1,2015,Thursday
20150214,2015-02-14,14,2,February,1,2015,Saturday
20150215,2015-02-15,15,2,February,1,2015,Sunday
20150216,2015-02-16,16,2,February,1,2015,Monday
20150217,2015-02-17,17,2,February,1,2015,Tuesday
20150218,2015-02-18,18,2,February,1,2015,Wednesday
20150220,2015-02-20,20,2,February,1,2015,Friday
20150221,2015-02-21,21,2,February,1,2015,Saturday
20150222,2015-02-22,22,2,February,1,2015,Sunday
20150223,2015-02-23,23,2,February,1,2015,Monday
20150224,2015-02-24,24,2,February,1,2015,Tuesday
20150227,2015-02-27,27,2,February,1,2015,Friday
20150301,2015-03-01,1,3,March,1,2015,Sunday
20150302,2015-03-02,2,3,March,1,2015,Monday
20150303,2015-03-03,3,3,March,1,2015,Tuesday
20150304,2015-03-04,4,3,March,1,2015,Wednesday
20150305,2015-03-05,5,3,March,1,2015,Thursday
20150307,2015-03-07,7,3,March,1,2015,Saturday
20150310,2015-03-10,10,3,March,1,2015,Tuesday
20150311,2015-03-11,11,3,March,1,2015,Wednesday
20150314,2015-03-14,14,3,March,1,2015,Saturday
20150315,2015-03-15,15,3,March,1,2015,Sunday
20150316,2015-03-16,16,3,March,1,2015,Monday
20150317,2015-03-17,17,3,March,1,2015,Tuesday
20150318,2015-03-18,18,3,March,1,2015,Wednesday
20150319,2015-03-19,19,3,March,1,2015,Thursday
20150321,2015-03-21,21,3,March,1,2015,Saturday
20150322,2015-03-22,22,3,March,1,2015,Sunday
20150323,2015-03-23,23,3,March,1,2015,Monday
20150324,2015-03-24,24,3,March,1,2015,Tuesday
20150325,2015-03-25,25,3,March,1,2015,Wednesday
20150326,2015-03-26,26,3,March,1,2015,Thursday
20150328,2015-03-28,28,3,March,1,2015,Saturday
20150329,2015-03-29,29,3,March,1,2015,Sunday
20150330,2015-03-30,30,3,March,1,2015,Monday
20150331,2015-03-31,31,3,March,1,2015,Tuesday
20150401,2015-04-01,1,4,April,2,2015,Wednesday
20150402,2015-04-02,2,4,April,2,2015,Thursday
20150404,2015-04-04,4,4,April,2,2015,Saturday
20150405,2015-04-05,5,4,April,2,2015,Sunday
20150406,2015-04-06,6,4,April,2,2015,Monday
20150407,2015-04-07,7,4,April,2,2015,Tuesday
20150408,2015-04-08,8,4,April,2,2015,Wednesday
20150411,2015-04-11,11,4,April,2,2015,Saturday
20150412,2015-04-12,12,4,April,2,2015,Sunday
20150413,2015-04-13,13,4,April,2,2015,Monday
20150415,2015-04-15,15,4,April,2,2015,Wednesday
20150416,2015-04-16,16,4,April,2,2015,Thursday
20150418,2015-04-18,18,4,April,2,2015,Saturday
20150419,2015-04-19,19,4,April,2,2015,Sunday
20150420,2015-04-20,20,4,April,2,2015,Monday
20150421,2015-04-21,21,4,April,2,2015,Tuesday
20150422,2015-04-22,22,4,April,2,2015,Wednesday
20150423,2015-04-23,23,4,April,2,2015,Thursday
20150425,2015-04-25,25,4,April,2,2015,Saturday
20150426,2015-04-26,26,4,April,2,2015,Sunday
20150428,2015-04-28,28,4,April,2,2015,Tuesday
20150429,2015-04-29,29,4,April,2,2015,Wednesday
20150430,2015-04-30,30,4,April,2,2015,Thursday
20150502,2015-05-02,2,5,May,2,2015,Saturday
20150503,2015-05-03,3,5,May,2,2015,Sunday
20150504,2015-05-04,4,5,May,2,2015,Monday
20150505,2015-05-05,5,5,May,2,2015,Tuesday
20150506,2015-05-06,6,5,May,2,2015,Wednesday
20150507,2015-05-07,7,5,May,2,2015,Thursday
20150508,2015-05-08,8,5,May,2,2015,Friday
20150509,2015-05-09,9,5,May,2,2015,Saturday
20150510,2015-05-10,10,5,May,2,2015,Sunday
20150511,2015-05-11,11,5,May,2,2015,Monday
20150512,2015-05-12,12,5,May,2,2015,Tuesday
20150513,2015-05-13,13,5,May,2,2015,Wednesday
20150514,2015-05-14,14,5,May,2,2015,Thursday
20150516,2015-05-16,16,5,May,2,2015,Saturday
20150517,2015-05-17,17,5,May,2,2015,Sunday
20150518,2015-05-18,18,5,May,2,2015,Monday
20150519,2015-05-19,19,5,May,2,2015,Tuesday
20150520,2015-05-20,20,5,May,2,2015,Wednesday
20150521,2015-05-21,21,5,May,2,2015,Thursday
20150522,2015-05-22,22,5,May,2,2015,Friday
20150523,2015-05-23,23,5,May,2,2015,Saturday
20150524,2015-05-24,24,5,May,2,2015,Sunday
20150525,2015-05-25,25,5,May,2,2015,Monday
20150526,2015-05-26,26,5,May,2,2015,Tuesday
20150527,2015-05-27,27,5,May,2,2015,Wednesday
20150528,2015-05-28,28,5,May,2,2015,Thursday
20150530,2015-05-30,30,5,May,2,2015,Saturday
20150531,2015-05-31,31,5,May,2,2015,Sunday
20150601,2015-06-01,1,6,June,2,2015,Monday
20150602,2015-06-02,2,6,June,2,2015,Tuesday
20150603,2015-06-03,3,6,June,2,2015,Wednesday
20150604,2015-06-04,4,6,June,2,2015,Thursday
20150606,2015-06-06,6,6,June,2,2015,Saturday
20150607,2015-06-07,7,6,June,2,2015,Sunday
20150608,2015-06-08,8,6,June,2,2015,Monday
20150609,2015-06-09,9,6,June,2,2015,Tuesday
20150610,2015-06-10,10,6,June,2,2015,Wednesday
20150613,2015-06-13,13,6,June,2,2015,Saturday
20150614,2015-06-14,14,6,June,2,2015,Sunday
20150615,2015-06-15,15,6,June,2,2015,Monday
