sales_key,order_id,customer_key,product_key,region_key,date_key,revenue,shipping_days,shipping_lag
1,CA-2015-100006,590,1438,24,20150907,377.97,0,"Same Day"
2,CA-2015-100090,183,1031,35,20150708,502.49,0,"Same Day"
3,CA-2015-100090,183,807,35,20150708,196.70,0,"Same Day"
4,CA-2015-100293,740,646,134,20150314,91.06,0,"Same Day"
5,CA-2015-100328,210,187,24,20150128,3.93,0,"Same Day"
6,CA-2015-100363,488,1095,277,20150408,2.37,0,"Same Day"
7,CA-2015-100363,488,1616,277,20150408,19.01,0,"Same Day"
8,CA-2015-100391,769,1511,46,20150525,14.62,0,"Same Day"
9,CA-2015-100678,28,293,15,20150418,317.06,0,"Same Day"
10,CA-2015-100678,28,60,15,20150418,2.69,0,"Same Day"
11,CA-2015-100678,28,639,15,20150418,149.35,0,"Same Day"
12,CA-2015-100678,28,1545,15,20150418,227.98,0,"Same Day"
13,CA-2015-100706,98,883,29,20151216,29.46,0,"Same Day"
14,CA-2015-100706,98,968,29,20151216,99.98,0,"Same Day"
15,CA-2015-100762,244,109,31,20151124,151.92,0,"Same Day"
16,CA-2015-100762,244,513,31,20151124,196.62,0,"Same Day"
17,CA-2015-100762,244,1434,31,20151124,144.12,0,"Same Day"
18,CA-2015-100762,244,228,31,20151124,15.96,0,"Same Day"
19,CA-2015-100860,474,1573,283,20150326,18.75,0,"Same Day"
20,CA-2015-100867,259,1097,469,20151019,321.55,0,"Same Day"
21,CA-2015-100881,661,174,384,20150328,302.38,0,"Same Day"
22,CA-2015-100895,648,1265,237,20150602,8.56,0,"Same Day"
23,CA-2015-100895,648,523,237,20150602,356.94,0,"Same Day"
24,CA-2015-100895,648,521,237,20150602,239.97,0,"Same Day"
25,CA-2015-100916,396,1127,390,20151021,591.32,0,"Same Day"
26,CA-2015-100916,396,896,390,20151021,2.84,0,"Same Day"
27,CA-2015-100916,396,42,390,20151021,194.70,0,"Same Day"
28,CA-2015-100972,749,450,364,20151119,166.44,0,"Same Day"
29,CA-2015-101147,431,362,37,20151202,2.39,0,"Same Day"
30,CA-2015-101175,679,1028,155,20151209,100.70,0,"Same Day"
31,CA-2015-101266,463,486,29,20150827,13.36,0,"Same Day"
32,CA-2015-101364,70,703,165,20151222,296.71,0,"Same Day"
33,CA-2015-101392,358,1444,6,20151207,269.36,0,"Same Day"
